,start,end,duration,round_epochs,loss,accuracy,f1score,val_loss,val_accuracy,val_f1score,lr,first_dropout,first_neuron,first_activation,kernel_initializer,second_neuron,second_activation,second_dropout,last_activation,optimizer,losses,batch_size,epochs
558,08/08/23-131041,08/08/23-131048,7.1269965171813965,100,5.251114845275879,0.6573556661605835,0.022777773439884186,5.609072685241699,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,elu,0.0,tanh,Nadam,binary_crossentropy,200,20
559,08/08/23-131048,08/08/23-131055,6.723649740219116,100,5.285384178161621,0.6573556661605835,0.0,5.609072208404541,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,elu,0.0,tanh,Nadam,binary_crossentropy,400,20
560,08/08/23-131055,08/08/23-131102,6.636332035064697,100,0.581747829914093,0.6927374005317688,0.4191165268421173,0.605907142162323,0.6883116960525513,0.38306447863578796,0.5,0.2,24,relu,normal,36,elu,0.2,sigmoid,Adam,binary_crossentropy,200,20
561,08/08/23-131102,08/08/23-131108,6.28333044052124,100,0.6063786149024963,0.6871508359909058,0.48471492528915405,0.6173135042190552,0.6926407217979431,0.5170067548751831,0.5,0.2,24,relu,normal,36,elu,0.2,sigmoid,Adam,binary_crossentropy,400,20
562,08/08/23-131109,08/08/23-131116,7.0439612865448,100,0.5774067640304565,0.716946005821228,0.4995957911014557,0.5885689854621887,0.7056276798248291,0.4536289870738983,0.5,0.2,24,relu,normal,36,elu,0.2,sigmoid,Nadam,binary_crossentropy,200,20
563,08/08/23-131116,08/08/23-131123,6.679814338684082,100,0.6203707456588745,0.6890130639076233,0.44547149538993835,0.6046247482299805,0.7142857313156128,0.5352112054824829,0.5,0.2,24,relu,normal,36,elu,0.2,sigmoid,Nadam,binary_crossentropy,400,20
564,08/08/23-131123,08/08/23-131129,6.66168212890625,100,5.1328277587890625,0.659217894077301,0.0665065124630928,5.609072685241699,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,elu,0.2,tanh,Adam,binary_crossentropy,200,20
565,08/08/23-131130,08/08/23-131136,6.274616718292236,100,5.29810094833374,0.6536312699317932,0.0,5.609072208404541,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,elu,0.2,tanh,Adam,binary_crossentropy,400,20
566,08/08/23-131136,08/08/23-131144,7.808832883834839,100,5.285270690917969,0.6573556661605835,0.0,5.609072685241699,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,elu,0.2,tanh,Nadam,binary_crossentropy,200,20
567,08/08/23-131144,08/08/23-131151,6.717427015304565,100,4.633394241333008,0.6480447053909302,0.2007356435060501,5.338211536407471,0.6233766078948975,0.0645161122083664,0.5,0.2,24,relu,normal,36,elu,0.2,tanh,Nadam,binary_crossentropy,400,20
568,08/08/23-131151,08/08/23-131158,6.642627239227295,100,0.6053223013877869,0.7020484209060669,0.40710702538490295,0.6314337253570557,0.6536796689033508,0.1874999850988388,0.5,0.2,24,relu,normal,36,elu,0.4,sigmoid,Adam,binary_crossentropy,200,20
569,08/08/23-131158,08/08/23-131204,6.19334864616394,100,0.5794191956520081,0.7001861929893494,0.42849311232566833,0.60361248254776,0.7186146974563599,0.5255473852157593,0.5,0.2,24,relu,normal,36,elu,0.4,sigmoid,Adam,binary_crossentropy,400,20
570,08/08/23-131204,08/08/23-131211,7.00846791267395,100,0.5931842923164368,0.6945996284484863,0.42149078845977783,0.6007642149925232,0.6926407217979431,0.365476131439209,0.5,0.2,24,relu,normal,36,elu,0.4,sigmoid,Nadam,binary_crossentropy,200,20
571,08/08/23-131212,08/08/23-131218,6.643022537231445,100,0.5683355927467346,0.7076349854469299,0.4591299891471863,0.6029379963874817,0.6709956526756287,0.3870967626571655,0.5,0.2,24,relu,normal,36,elu,0.4,sigmoid,Nadam,binary_crossentropy,400,20
572,08/08/23-131218,08/08/23-131225,6.61224627494812,100,5.285270690917969,0.6573556661605835,0.0,5.609072685241699,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,elu,0.4,tanh,Adam,binary_crossentropy,200,20
573,08/08/23-131225,08/08/23-131232,6.313137769699097,100,5.286775588989258,0.6554934978485107,0.0,5.609072208404541,0.6363636255264282,0.0,0.5,0.2,24,relu,normal,36,elu,0.4,tanh,Adam,binary_crossentropy,400,20
